"SA","season","AnimalID","year","area","nb.reloc"
"BM","WI","car007","2003",10.0112038085938,13
"BM","WI","car012","2003",1116.6141706543,366
"BM","WI","car007","2004",14.8978554443359,19
"BM","WI","car012","2004",2532.79977434082,177
"BM","WI","car038","2004",4.8009990234375,6
"BM","WI","car007","2005",9.82346372070312,13
"BM","WI","car012","2005",2651.90762739258,141
"BM","WI","car038","2005",5.27541479492187,7
"BM","WI","car040","2005",6805.94150754395,78
"BM","WI","car041","2005",3795.6022980957,64
"BM","WI","car042","2005",3126.23283500977,77
"BM","WI","car046","2005",676.46898684082,22
"BM","WI","car007","2006",6.04234819335938,8
"BM","WI","car038","2006",4.53068139648437,6
"BM","WI","car040","2006",4574.26694064941,173
"BM","WI","car041","2006",724.742188793945,41
"BM","WI","car042","2006",4142.86028461914,170
"BM","WI","car046","2006",3749.58064667969,325
"BM","WI","car007","2007",5.37122919921875,7
"BM","WI","car038","2007",5.30618239746094,7
"BM","WI","car046","2007",191.417408349609,17
"BM","WI","car068","2007",4118.6411373291,253
"BM","WI","car069","2007",2615.68231699219,240
"BM","WI","car070","2007",2051.81335178223,251
"BM","WI","car071","2007",3462.27947275391,239
"BM","WI","car074","2007",2970.12060949707,201
"BM","WI","car075","2007",3122.47679990234,241
"BM","WI","car007","2008",4.528764453125,6
"BM","WI","car068","2008",5019.76979421387,724
"BM","WI","car069","2008",7416.18979055176,640
"BM","WI","car070","2008",4071.03538010254,734
"BM","WI","car071","2008",6176.86607668457,720
"BM","WI","car074","2008",6431.30819990234,620
"BM","WI","car075","2008",4395.64972719727,692
"BM","WI","car068","2009",4297.65057683105,343
"BM","WI","car069","2009",2106.64321140137,54
"BM","WI","car070","2009",2193.36360449219,345
"BM","WI","car071","2009",1435.33652099609,91
"BM","WI","car074","2009",2576.07366911621,256
"BM","WI","car075","2009",3059.84831262207,360
"BM","WI","car110","2009",7983.32851225586,426
"BM","WI","car111","2009",2768.24145534668,450
"BM","WI","car112","2009",5700.41942023926,213
"BM","WI","car113","2009",4502.8441456543,471
"BM","WI","car114","2009",6211.03991635742,418
"BM","WI","car110","2010",12552.1421168945,472
"BM","WI","car111","2010",2613.13390126953,498
"BM","WI","car112","2010",929.7893234375,18
"BM","WI","car113","2010",7616.11250378418,603
"BM","WI","car114","2010",4025.61254609375,523
"BM","WI","car125","2010",4824.46714311523,286
"BM","WI","car110","2011",4095.74240009766,349
"BM","WI","car111","2011",1891.8341359375,59
"BM","WI","car113","2011",3694.17505944824,315
"BM","WI","car114","2011",3342.01909799805,326
"BM","WI","car125","2011",3472.26850595703,263
"BM","WI","car141","2011",2142.63226347656,382
"BM","WI","car142","2011",2414.86338945312,364
"BM","WI","car143","2011",2826.85074858398,344
"BM","WI","car146","2011",1593.35931655273,229
"BM","WI","car152","2011",382.089238916016,109
"BM","WI","car141","2012",3774.66857556152,188
"BM","WI","car142","2012",3754.02885258789,484
"BM","WI","car143","2012",4857.75220410156,619
"BM","WI","car146","2012",3698.9466748291,255
"BM","WI","car158","2012",2555.33184550781,233
"BM","WI","car143","2013",5952.32631499023,624
"BM","WI","car146","2013",7065.86394555664,612
"BM","WI","car158","2013",5778.95539516602,479
"BM","WI","car163","2013",582.37619753418,345
"BM","WI","car166","2013",2599.96065400391,349
"BM","WI","car167","2013",314.965022070313,130
"BM","WI","car143","2014",8769.78231765137,642
"BM","WI","car146","2014",4076.30315117188,460
"BM","WI","car163","2014",1747.22572038574,538
"BM","WI","car166","2014",4433.38429604492,494
"BM","WI","car175","2014",302.735726098633,10
"BM","WI","car143","2015",1476.09000507812,215
"BM","WI","car163","2015",2458.18906008301,530
"BM","WI","car166","2015",1459.90606916504,319
"BM","WI","car175","2015",2414.59995351563,160
"BM","WI","car181","2015",2393.61000256348,90
"BM","WI","car182","2015",2086.08461721191,81
"BM","WI","car183","2015",415.474032128906,36
"BM","WI","car188","2015",3227.6374300293,61
"BM","WI","car189","2015",2896.88063686523,59
"BM","WI","car190","2015",3482.37013706055,62
"BM","WI","car163","2016",2920.98041862793,116
"BM","WI","car175","2016",2217.38736081543,106
"BM","WI","car181","2016",1887.84882648926,173
"BM","WI","car182","2016",3787.83243806152,162
"BM","WI","car188","2016",6331.03187253418,162
"BM","WI","car189","2016",4639.7839854248,135
"BM","WI","car190","2016",4581.18484777832,159
"BM","WI","car194","2016",3342.81412321777,89
"BM","WI","car195","2016",3685.59899284668,85
"BM","WI","car196","2016",3908.5165456543,95
"BM","WI","car175","2017",2022.80800708008,147
"BM","WI","car181","2017",1864.57483903809,174
"BM","WI","car182","2017",2054.96831679688,167
"BM","WI","car188","2017",3771.80946455078,118
"BM","WI","car189","2017",4803.59258044434,138
"BM","WI","car190","2017",2737.92603227539,161
"BM","WI","car194","2017",2988.73454455566,161
"BM","WI","car195","2017",3870.22160014648,166
"BM","WI","car196","2017",3604.53935551758,154
"BM","WI","car205","2017",1782.95352783203,69
"BM","WI","car206","2017",3483.89557797852,82
"BM","WI","car175","2018",842.878114257813,42
"BM","WI","car181","2018",1069.56244567871,133
"BM","WI","car182","2018",2524.71587836914,140
"BM","WI","car188","2018",2096.40785900879,143
"BM","WI","car189","2018",2190.82858439941,131
"BM","WI","car190","2018",1975.31738679199,109
"BM","WI","car194","2018",2907.46899819336,153
"BM","WI","car195","2018",3048.31333903809,150
"BM","WI","car196","2018",3967.04668076172,172
"BM","WI","car205","2018",2929.5559263916,138
"BM","WI","car206","2018",3177.74473220215,141
"BM","WI","car213","2018",1381.76817797852,88
"BM","WI","car214","2018",1163.24066025391,59
"BM","WI","car215","2018",738.869817919922,66
"BM","WI","car216","2018",1365.76681169434,79
"BM","WI","car217","2018",2612.19454125977,102
"BM","WI","18-13983","2019",1879.36905214844,147
"BM","WI","18-13990","2019",1591.4950307373,128
"BM","WI","car194","2019",1184.62984240723,47
"BM","WI","car195","2019",3728.68485839844,40
"BM","WI","car196","2019",2338.93005532227,42
"BM","WI","car205","2019",1866.9498765625,128
"BM","WI","car206","2019",4823.61165795898,125
"BM","WI","car213","2019",1883.65152612305,124
"BM","WI","car216","2019",1806.26432233887,41
"BM","WI","car217","2019",3585.64118422852,165
"BM","WI","18-13983","2020",4573.41948173828,305
"BM","WI","18-13990","2020",3851.36908164063,183
"BM","WI","19-1756","2020",1135.93973967285,159
"BM","WI","19-1758","2020",2111.01507104492,158
"BM","WI","19-1762","2020",2107.63843952637,127
"BM","WI","car190","2020",742.278395605469,138
"BM","WI","car194","2020",2354.95557250977,139
"BM","WI","car196","2020",1392.72943967285,156
"BM","WI","car205","2020",388.662233642578,8
"BM","WI","car206","2020",437.397825024414,6
"BM","WI","car213","2020",1311.98949023437,103
"BM","WI","car217","2020",2490.07591655273,122
"BM","WI","18-13983","2021",765.301144702148,67
"BM","WI","19-1756","2021",623.205563134766,72
"BM","WI","19-1758","2021",366.901388623047,55
"BM","WI","19-1762","2021",1188.56449953613,55
"BM","WI","car190","2021",426.073863354492,59
"BM","WI","car194","2021",988.872545849609,51
"BM","WI","car196","2021",1432.88823967285,62
"BM","WI","car213","2021",202.357069970703,7
